Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
G1,11/09/2021,16:15,Panetolikos,Asteras Tripolis,0,0,D,0,0,D,3,5,1,1,18,23,1,4,1,3,0,0,3.2,2.87,2.5,2.7,3.1,2.6,2.85,3.1,2.6,2.91,3.12,2.6,2.8,3,2.55,,,,3.2,3.18,2.63,2.82,3.06,2.55,2.15,1.66,2.22,1.67,2.28,1.73,2.2,1.65,0,2.05,1.8,2.02,1.81,2.08,1.87,2,1.81,3.4,2.87,2.37,2.8,3,2.55,3.25,2.95,2.45,3.33,2.93,2.49,3.1,2.9,2.4,3.13,2.9,2.45,3.61,3.08,2.6,3.16,2.93,2.42,2.5,1.5,2.58,1.52,2.58,1.62,2.45,1.53,0.25,1.83,2.02,1.79,2.08,1.92,2.08,1.79,2.03
G1,11/09/2021,18:30,Panathinaikos,Apollon,4,0,H,2,0,H,9,10,6,6,12,20,1,3,3,6,0,1,1.4,3.75,8,1.36,4.6,7.75,1.47,4.3,7,1.4,4.5,8.26,1.4,4.2,8,1.4,4.2,8,1.47,4.7,8.7,1.4,4.39,7.66,2.05,1.75,2.05,1.78,2.08,1.86,2,1.79,-1.25,,,2.08,1.77,2.13,1.86,2.03,1.79,1.45,3.5,7,1.5,4,6.25,1.53,3.85,6.75,1.54,3.82,7.25,1.47,3.9,7,1.5,3.8,7,1.55,4.84,8.4,1.49,3.88,6.87,2.25,1.61,2.33,1.62,2.35,1.88,2.21,1.65,-1,1.75,2.05,2.01,1.85,2.02,2.28,1.93,1.88
G1,12/09/2021,16:15,Volos NFC,Lamia,2,1,H,2,0,H,9,11,6,4,15,16,4,8,1,2,0,0,1.9,3,4,1.95,3.2,4,1.97,3.25,4.1,1.97,3.28,4.17,2.05,3,3.9,1.95,3.1,4.1,2.11,3.3,4.5,1.99,3.15,3.96,2.4,1.53,2.46,1.55,2.55,1.59,2.45,1.53,-0.5,2,1.85,1.96,1.85,2.11,1.9,1.99,1.81,2.05,2.9,3.5,2.1,3,3.7,2.25,2.9,3.7,2.28,2.9,3.84,2.2,2.88,3.6,2.2,3,3.5,2.38,3.15,3.94,2.23,2.9,3.59,2.6,1.47,2.68,1.48,2.75,1.53,2.6,1.47,-0.25,1.88,1.98,1.9,1.95,1.93,2.04,1.89,1.91
G1,12/09/2021,17:00,PAOK,Giannina,0,1,A,0,0,D,9,3,2,1,16,21,8,4,2,3,0,0,1.18,5.25,13,1.2,5.75,13.5,1.2,7,13,1.17,6.55,19.54,1.18,5.8,17,1.2,5.5,17,1.23,7,21,1.19,6.14,15.5,1.9,1.9,1.88,1.91,1.96,1.95,1.89,1.88,-1.75,2,1.85,1.95,1.85,2.04,1.9,1.96,1.85,1.2,4.75,17,1.16,6.5,15.5,1.2,6,16,1.19,6.37,18.56,1.18,5.8,17,1.18,6,17,1.23,6.75,21,1.18,6.14,16.09,1.85,1.95,1.88,1.93,1.93,2,1.86,1.92,-1.75,2,1.85,1.95,1.88,2.07,1.97,1.93,1.88
G1,12/09/2021,18:30,AEK,Ionikos,3,0,H,1,0,H,11,4,9,0,18,13,8,0,3,4,0,1,1.16,6.5,17,1.19,5.5,18,1.2,5.75,17,1.16,6.47,23.15,1.18,5.8,17,1.2,5.5,18,1.21,6.8,23.15,1.18,6.05,18.46,1.9,1.9,1.87,1.92,2,2,1.88,1.9,-1.75,1.95,1.9,1.85,1.95,2.04,2.1,1.88,1.92,1.16,6,21,1.14,6.5,19.5,1.17,6.75,21,1.13,7.74,32.92,1.14,6.5,19,1.14,7,20,1.17,7.74,32.92,1.14,6.9,21.3,1.72,2.07,1.72,2.12,1.82,2.13,1.74,2.05,-2,1.98,1.88,1.95,1.88,2.06,1.94,1.97,1.84
G1,12/09/2021,18:30,Olympiakos,Atromitos,0,0,D,0,0,D,16,3,6,2,13,16,9,0,1,6,0,0,1.14,7.5,17,1.17,6,17.5,1.17,6.75,17,1.14,7.55,21.98,1.14,6.5,19,1.15,6.5,18,1.19,8,23,1.15,6.95,18.04,1.72,2.07,1.76,2.05,1.8,2.12,1.75,2.04,-2,2.05,1.8,2.06,1.76,2.11,1.84,2.04,1.78,1.18,6.5,19,1.17,6,17.5,1.2,6.25,16,1.17,6.74,19.11,1.17,5.8,19,1.17,6.5,17,1.2,7.5,19.11,1.17,6.43,16.56,1.72,2.07,1.76,2.07,1.81,2.2,1.75,2.05,-1.75,1.83,2.02,1.83,2.01,1.88,2.08,1.81,2
G1,13/09/2021,17:30,Aris,OFI Crete,0,0,D,0,0,D,13,0,3,0,12,19,9,2,1,3,0,0,1.4,4.2,9,1.45,4,7,1.5,4.1,7,1.37,4.5,7.63,1.4,4.2,8,1.44,4,8,1.5,4.8,9,1.41,4.29,7.61,2.1,1.7,2.1,1.68,2.22,1.75,2.14,1.68,-1,1.7,2.1,1.76,2.1,1.83,2.16,1.75,2.09,1.4,4,9.5,1.44,4.1,7,1.5,4,7.5,1.44,4.35,7.76,1.44,3.9,7.5,1.44,3.9,8,1.5,4.35,9.5,1.44,4.11,7.44,2.15,1.66,2.19,1.69,2.3,1.73,2.22,1.64,-1,1.77,2.1,1.81,2.06,1.87,2.14,1.8,2.02
G1,17/09/2021,17:00,Ionikos,Aris,1,0,H,0,0,D,1,8,1,1,13,16,0,5,5,1,0,0,4.75,3.4,1.7,4.6,3.4,1.75,5,3.45,1.77,5.1,3.45,1.78,4.6,3.25,1.8,4.75,3.4,1.75,5.1,3.52,1.85,4.8,3.38,1.77,2.35,1.57,2.43,1.57,2.43,1.63,2.34,1.58,0.75,1.83,2.02,1.83,2.04,1.85,2.08,1.81,2,4.75,3.4,1.7,4.6,3.4,1.75,5,3.35,1.8,4.83,3.4,1.83,4.6,3.2,1.83,4.75,3.4,1.75,5.1,3.5,1.85,4.7,3.33,1.78,2.4,1.53,2.38,1.6,2.44,1.63,2.34,1.58,0.5,2.02,1.77,2.03,1.83,2.13,1.85,2.03,1.78
G1,18/09/2021,18:30,Giannina,Panathinaikos,1,0,H,1,0,H,2,12,1,4,18,13,5,8,4,2,0,0,3.3,3.1,2.15,3.3,3.2,2.15,3.3,3.3,2.25,3.32,3.37,2.18,3.2,3.1,2.25,3.3,3.13,2.2,3.4,3.42,2.3,3.23,3.24,2.2,2.3,1.6,2.35,1.58,2.38,1.65,2.3,1.6,0.25,1.95,1.9,1.93,1.88,1.97,1.99,1.91,1.9,2.9,3.1,2.37,3.2,3.1,2.25,3.1,3,2.5,3.08,2.99,2.6,3.2,3,2.3,3,3,2.45,3.41,3.23,2.66,3.03,2.99,2.44,2.4,1.53,2.48,1.55,2.48,1.61,2.39,1.56,0.25,1.73,2.08,1.71,2.18,1.85,2.21,1.75,2.09
G1,19/09/2021,14:00,Apollon,Volos NFC,1,3,A,0,1,A,7,5,3,4,19,20,6,1,2,3,0,0,2.3,2.87,3.2,2.3,3,3.2,2.25,3.25,3.3,2.19,3.33,3.34,2.25,3.1,3.2,2.25,3.1,3.3,2.3,3.37,3.4,2.22,3.18,3.25,2.35,1.57,2.34,1.59,2.5,1.63,2.35,1.57,-0.25,,,1.88,1.93,2.02,1.95,1.92,1.89,2.25,2.9,3.4,2.35,2.9,3.25,2.4,2.95,3.3,2.46,2.92,3.38,2.3,3,3.2,2.4,2.9,3.2,2.5,3.2,3.46,2.38,2.91,3.26,2.35,1.57,2.45,1.56,2.46,1.61,2.39,1.56,-0.25,,,2.06,1.81,2.08,1.88,2.02,1.8
