Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
I2,24/08/18,Brescia,Perugia,1,1,D,1,0,H,7,7,4,1,25,17,3,3,0,2,1,0,2.2,3.2,3.4,2.2,3.1,3.5,2.2,3.1,3.25,2.35,3.14,3.45,2.3,3.1,3.2,2.3,3.13,3.4,39,2.35,2.23,3.25,3.09,3.5,3.3,35,2.17,2.09,1.79,1.71,17,-0.25,1.99,1.93,1.97,1.88,2.2,3.24,3.71
I2,25/08/18,Cremonese,Pescara,1,1,D,1,0,H,5,12,2,3,14,18,3,7,0,2,1,1,2.1,3.25,3.6,2.05,3.1,4,2.05,3.15,3.65,2.09,3.16,4.05,2.1,3.25,3.5,2.1,3.2,3.75,42,2.18,2.07,3.27,3.12,4.05,3.65,37,2.11,2.05,1.8,1.73,19,-0.25,1.85,1.79,2.11,2.02,2.15,3.18,3.92
I2,25/08/18,Salernitana,Palermo,0,0,D,0,0,D,6,6,2,2,22,17,3,4,2,2,0,0,3.2,3,2.4,2.95,2.9,2.65,2.9,2.95,2.55,3.07,2.93,2.68,3,3,2.5,3,3,2.6,40,3.2,2.97,3.05,2.92,2.7,2.54,33,2.38,2.28,1.65,1.59,18,0,2.12,2.05,1.83,1.77,2.94,2.94,2.83
I2,25/08/18,Venezia,Spezia,1,0,H,1,0,H,11,11,3,2,11,23,6,4,1,3,0,0,2.2,3.2,3.4,2.2,2.95,3.75,2.2,3,3.45,2.32,2.97,3.68,2.25,2.9,3.4,2.25,3,3.7,42,2.33,2.21,3.2,2.96,3.8,3.49,35,2.41,2.34,1.62,1.56,19,-0.25,1.95,1.9,1.97,1.91,2.45,2.85,3.64
I2,26/08/18,Ascoli,Cosenza,1,1,D,0,1,A,11,8,4,3,16,23,8,5,2,3,0,0,2.2,3.2,3.4,2.2,2.95,3.75,2.25,2.95,3.4,2.36,2.91,3.67,2.38,2.88,3.3,2.3,3,3.5,41,2.38,2.25,3.2,2.93,3.75,3.4,35,2.36,2.27,1.63,1.59,18,-0.25,1.99,1.93,1.93,1.88,2.56,2.86,3.41
I2,26/08/18,Cittadella,Crotone,3,0,H,1,0,H,18,11,8,2,18,12,5,6,3,2,0,1,2.5,3,3,2.55,3.1,2.9,2.45,3.05,2.9,2.56,3.03,3.12,2.5,3.1,2.9,2.55,3.1,3,41,2.56,2.47,3.15,3.03,3.12,2.91,36,2.2,2.11,1.77,1.68,17,0,1.81,1.74,2.15,2.08,2.63,3.04,3.09
I2,26/08/18,Foggia,Carpi,4,2,H,1,0,H,16,14,10,6,8,21,8,6,0,3,0,0,1.9,3.4,4,1.9,3.3,4.33,1.85,3.3,4.2,1.89,3.37,4.6,1.91,3.3,4,1.9,3.4,4.4,41,1.95,1.87,3.47,3.3,4.6,4.19,35,2.15,2.08,1.8,1.71,17,-0.5,1.91,1.84,2.05,1.97,2,3.27,4.39
I2,26/08/18,Verona,Padova,1,1,D,1,1,D,10,7,5,4,13,20,5,4,2,3,0,0,1.72,3.25,5.5,1.65,3.3,6.5,1.7,3.35,5,1.72,3.34,6.3,1.7,3.4,5.5,1.73,3.5,5.4,43,1.78,1.71,3.5,3.32,6.5,5.36,35,2.16,2.08,1.81,1.73,21,-0.75,2.04,1.97,1.96,1.88,2.09,2.99,4.53
I2,27/08/18,Benevento,Lecce,3,3,D,0,1,A,13,3,6,3,15,12,5,4,1,4,0,0,1.8,3.4,4.75,1.78,3.3,5,1.7,3.4,4.85,1.76,3.47,5.48,1.8,3.4,4.4,1.8,3.4,5,41,1.83,1.75,3.5,3.33,5.48,4.77,36,2.25,2.09,1.77,1.69,17,-0.75,2.11,2.02,1.87,1.79,1.92,3.16,5.11
I2,31/08/18,Palermo,Cremonese,2,2,D,1,0,H,18,18,9,3,15,9,7,9,3,0,0,0,1.66,3.4,6,1.67,3.5,5.75,1.65,3.4,5.75,1.68,3.47,6.73,1.67,3.5,5.5,1.65,3.5,6.25,38,1.73,1.66,3.5,3.4,6.73,5.69,33,2.37,2.22,1.7,1.63,16,-0.75,1.91,1.87,2.03,1.95,1.95,3.04,5.22
