Div,Date,HomeTeam,AwayTeam
E1,03/08/18,Reading,Derby
E1,04/08/18,Birmingham,Norwich
E1,04/08/18,Brentford,Rotherham
E1,04/08/18,Bristol City,Nott'm Forest
E1,04/08/18,Ipswich,Blackburn
E1,04/08/18,Millwall,Middlesbrough
E1,04/08/18,Preston,QPR
E1,04/08/18,Sheffield United,Swansea
E1,04/08/18,West Brom,Bolton
E1,04/08/18,Wigan,Sheffield Weds
E1,05/08/18,Leeds,Stoke
E1,06/08/18,Hull,Aston Villa
E1,07/08/18,Middlesbrough,Sheffield United
E1,07/08/18,Nott'm Forest,West Brom
E1,11/08/18,Aston Villa,Wigan
E1,11/08/18,Blackburn,Millwall
E1,11/08/18,Bolton,Bristol City
E1,11/08/18,Derby,Leeds
E1,11/08/18,Middlesbrough,Birmingham
E1,11/08/18,Norwich,West Brom
E1,11/08/18,Nott'm Forest,Reading
E1,11/08/18,QPR,Sheffield United
E1,11/08/18,Rotherham,Ipswich
E1,11/08/18,Sheffield Weds,Hull
E1,11/08/18,Stoke,Brentford
E1,11/08/18,Swansea,Preston
E1,17/08/18,Birmingham,Swansea
E1,18/08/18,Bristol City,Middlesbrough
E1,18/08/18,Hull,Blackburn
E1,18/08/18,Ipswich,Aston Villa
E1,18/08/18,Leeds,Rotherham
E1,18/08/18,Millwall,Derby
E1,18/08/18,Preston,Stoke
E1,18/08/18,Reading,Bolton
E1,18/08/18,Sheffield United,Norwich
E1,18/08/18,West Brom,QPR
E1,18/08/18,Wigan,Nott'm Forest
E1,19/08/18,Brentford,Sheffield Weds
E1,21/08/18,Derby,Ipswich
E1,21/08/18,QPR,Bristol City
E1,21/08/18,Rotherham,Hull
E1,21/08/18,Swansea,Leeds
E1,22/08/18,Aston Villa,Brentford
E1,22/08/18,Blackburn,Reading
E1,22/08/18,Bolton,Birmingham
E1,22/08/18,Norwich,Preston
E1,22/08/18,Sheffield Weds,Millwall
E1,22/08/18,Stoke,Wigan
E1,24/08/18,Middlesbrough,West Brom
E1,25/08/18,Aston Villa,Reading
E1,25/08/18,Blackburn,Brentford
E1,25/08/18,Bolton,Sheffield United
E1,25/08/18,Derby,Preston
E1,25/08/18,Norwich,Leeds
E1,25/08/18,Nott'm Forest,Birmingham
E1,25/08/18,QPR,Wigan
E1,25/08/18,Sheffield Weds,Ipswich
E1,25/08/18,Stoke,Hull
E1,25/08/18,Swansea,Bristol City
E1,26/08/18,Rotherham,Millwall
E1,31/08/18,Leeds,Middlesbrough
E1,01/09/18,Birmingham,QPR
E1,01/09/18,Brentford,Nott'm Forest
E1,01/09/18,Hull,Derby
E1,01/09/18,Millwall,Swansea
E1,01/09/18,Preston,Bolton
E1,01/09/18,Reading,Sheffield Weds
E1,01/09/18,Sheffield United,Aston Villa
E1,01/09/18,West Brom,Stoke
E1,01/09/18,Wigan,Rotherham
E1,02/09/18,Bristol City,Blackburn
E1,02/09/18,Ipswich,Norwich
E1,14/09/18,Birmingham,West Brom
E1,15/09/18,Blackburn,Aston Villa
E1,15/09/18,Bolton,QPR
E1,15/09/18,Brentford,Wigan
E1,15/09/18,Bristol City,Sheffield United
E1,15/09/18,Hull,Ipswich
E1,15/09/18,Millwall,Leeds
E1,15/09/18,Norwich,Middlesbrough
E1,15/09/18,Preston,Reading
E1,15/09/18,Rotherham,Derby
E1,15/09/18,Sheffield Weds,Stoke
E1,15/09/18,Swansea,Nott'm Forest
E1,18/09/18,Aston Villa,Rotherham
E1,18/09/18,Derby,Blackburn
E1,18/09/18,Ipswich,Brentford
E1,18/09/18,Leeds,Preston
E1,18/09/18,Stoke,Swansea
E1,18/09/18,West Brom,Bristol City
E1,18/09/18,Wigan,Hull
E1,19/09/18,Middlesbrough,Bolton
E1,19/09/18,Nott'm Forest,Sheffield Weds
E1,19/09/18,QPR,Millwall
E1,19/09/18,Reading,Norwich
E1,19/09/18,Sheffield United,Birmingham
E1,21/09/18,Wigan,Bristol City
E1,22/09/18,Aston Villa,Sheffield Weds
E1,22/09/18,Derby,Brentford
E1,22/09/18,Ipswich,Bolton
E1,22/09/18,Leeds,Birmingham
E1,22/09/18,Middlesbrough,Swansea
E1,22/09/18,Nott'm Forest,Rotherham
E1,22/09/18,QPR,Norwich
E1,22/09/18,Reading,Hull
E1,22/09/18,Sheffield United,Preston
E1,22/09/18,Stoke,Blackburn
